site_id,years,states,commodity,latitude,longitude
M000228,1980;1985;1990;1995;2000,0;0;0;0;0,Au,-32.2431,27.2176
M000229,2005;2010;2015;2020;2025;2030,0;1;1;3;3;3,Zn,71.0681,-153.5983
M000230,1971;1976;1981;1986,0;0;3;3,Au,87.5358,161.493
M000231,1980;1985;1990,0;0;0,Cu,64.0534,-60.1733
M000232,1982;1987;1992;1997;2002,0;0;0;1;1,Ag,63.9703,49.4121
M000233,1999;2004;2009,0;0;0,Au,56.9975,-122.15
M000234,1971;1976;1981;1986;1991,0;0;3;3;3,Cu,52.8703,-122.0477
M000235,2005;2010,0;0,Zn,-60.701,-102.5463
M000236,1983;1988;1993;1998,0;0;0;3,Cu,-83.9927,-8.4881
M000237,2009;2014;2019;2024;2029,0;0;0;0;0,Au,-54.8821,-16.5524
M000238,1981;1986,0;0,U,-84.147,-126.208
M000239,1997;2002;2007;2012;2017,0;1;1;1;1,Au,-50.3933,101.6117
M000240,2004;2009,0;0,Fe,50.425,95.0791
M000241,1991;1996;2001;2006;2011,0;0;0;0;1,Au,-10.1151,-139.9541
M000242,1989;1994,0;1,Ag,52.7117,149.5708
M000243,1993;1998;2003;2008,0;1;1;1,Ag,25.9854,4.0613
M000244,2010;2015;2020,0;0;0,Au,85.7936,125.042
M000245,1997;2002;2007;2012,0;0;0;1,Au,-89.7058,76.0648
M000246,1981;1986;1991;1996,0;1;2;2,Ag,36.2227,127.5803
M000247,2011;2016;2021,0;3;3,Cu,-79.3685,89.1531
M000248,2007;2012;2017;2022;2027;2032,0;1;3;3;3;3,Ag,67.239,41.6009
M000249,1973;1978;1983,0;0;3,U,-77.2037,-128.364
M000250,1974;1979;1984;1989,0;0;3;3,Fe,-54.2052,-154.0874
M000251,1996;2001;2006;2011;2016,0;1;3;3;3,Fe,72.6971,137.7747
M000252,2004;2009;2014,0;0;1,Ag,44.9081,141.8694
M000253,1995;2000;2005,0;3;3,Zn,42.5703,7.1765
M000254,1970;1975;1980;1985;1990,0;3;3;3;3,Zn,-16.444,102.0208
M000255,1984;1989;1994;1999;2004;2009,0;0;0;3;3;3,Fe,-75.2015,-1.1328
M000256,1972;1977;1982;1987,0;0;1;1,Ag,-14.3366,-12.0027
M000257,1983;1988;1993;1998;2003,0;0;0;0;0,Au,-59.3204,-14.1231
M000258,2011;2016;2021;2026;2031,0;0;0;0;3,Ag,44.001,2.7468
M000259,1995;2000;2005;2010;2015,0;0;1;1;1,Ag,6.6596,102.5631
M000260,2006;2011,0;0,Zn,-68.8262,-88.1546
M000261,1993;1998;2003;2008;2013;2018,0;0;0;0;0;0,Au,88.854,-98.7828
M000262,2004;2009,0;0,Zn,-50.7737,8.2956
M000263,2007;2012;2017;2022;2027,0;0;3;3;3,Au,79.6115,-107.0025
M000264,1990;1995;2000,0;1;2,Zn,-32.1911,83.6439
M000265,2009;2014;2019;2024,0;0;0;3,Cu,-40.2567,129.7636
M000266,1984;1989;1994;1999;2004;2009,0;1;1;1;1;1,Zn,86.97,65.1456
M000267,2008;2013;2018,0;1;2,U,24.1833,-108.873
M000268,2010;2015;2020;2025;2030,0;0;0;1;2,Au,-17.866,-141.2777
M000269,1994;1999,0;0,U,56.6483,21.5529
M000270,1999;2004;2009;2014;2019,0;1;1;1;2,Cu,62.1616,69.8712
M000271,1978;1983;1988;1993;1998,0;1;1;1;1,Cu,62.253,66.7264
M000272,1977;1982;1987;1992;1997;2002,0;3;3;3;3;3,Cu,14.0689,92.7057
M000273,2013;2018,0;0,Au,-7.6547,98.8102
M000274,2001;2006;2011,0;0;0,U,-70.0212,-30.4715
M000275,1993;1998,0;0,Au,-16.7296,-148.6879
M000276,2011;2016;2021,0;1;1,Zn,55.3013,-62.7495
M000277,2003;2008,0;1,Au,-34.8659,66.0945
M000278,1979;1984;1989;1994,0;0;0;0,Fe,32.0825,10.3339
M000279,1970;1975;1980;1985;1990;1995,0;1;1;1;1;2,Cu,-24.432,-103.0629
M000280,1981;1986;1991;1996,0;3;3;3,Au,-42.8258,5.5593
M000281,2003;2008,0;3,Ag,56.335,149.7175
M000282,1995;2000;2005;2010;2015,0;0;1;1;1,U,67.9995,141.106
M000283,2002;2007;2012;2017,0;1;1;1,Zn,9.516,-21.2855
M000284,1993;1998;2003;2008;2013,0;1;2;2;2,Ag,87.7841,122.0426
M000285,1978;1983;1988;1993,0;1;2;2,Fe,36.0039,-99.9752
M000286,1997;2002,0;0,Ag,-32.096,-96.5824
M000287,1990;1995;2000;2005;2010,0;1;1;2;2,Fe,67.9952,110.8893
M000288,1971;1976;1981;1986;1991;1996,0;0;3;3;3;3,Cu,-52.4542,152.1958
M000289,1980;1985;1990;1995;2000;2005,0;0;0;0;0;3,Au,-4.1699,-73.2697
M000290,1971;1976,0;0,U,-31.7819,158.0554
M000291,1988;1993;1998,0;0;0,Ag,70.3195,14.4861
M000292,2010;2015;2020,0;0;0,Fe,-68.6593,-64.6334
M000293,2002;2007,0;1,U,-70.5037,22.103
M000294,2006;2011;2016;2021;2026,0;1;1;1;2,Ag,56.3499,-56.2689
M000295,2010;2015;2020;2025;2030,0;1;3;3;3,Fe,58.042,119.0954
M000296,1997;2002,0;1,Zn,29.4241,9.208
M000297,2007;2012;2017;2022;2027;2032,0;1;2;2;2;2,Fe,-89.6842,-154.2684
M000298,1973;1978;1983;1988;1993,0;1;3;3;3,U,-51.8689,-169.2063
M000299,1997;2002;2007;2012;2017;2022,0;0;0;0;3;3,Cu,-48.2139,88.2025
M000300,1972;1977;1982;1987,0;0;0;0,Cu,16.5084,88.563
M000301,1978;1983;1988,0;0;0,Au,-38.9223,112.2266
M000302,1973;1978,0;0,Ag,-82.5439,-80.4708
M000303,1995;2000;2005;2010;2015,0;1;2;2;2,Au,84.1083,127.8269
M000304,2007;2012;2017;2022,0;0;0;1,U,56.7145,-100.6272
M000305,1974;1979;1984;1989,0;1;1;1,U,-2.4616,-160.6488
M000306,2002;2007;2012;2017;2022;2027,0;0;0;1;1;1,Ag,36.1479,-20.3366
M000307,2005;2010,0;0,Fe,21.3899,-77.6342
M000308,1970;1975;1980;1985,0;1;1;2,Au,-83.1678,53.5157
M000309,2013;2018;2023,0;1;1,Fe,89.8348,107.5612
M000310,1978;1983;1988,0;3;3,Zn,-27.1685,-60.9837
M000311,2012;2017;2022;2027,0;1;1;1,Au,-74.2672,83.7009
M000312,1971;1976;1981,0;1;3,U,-83.0925,14.1543
M000313,2005;2010;2015;2020;2025,0;0;0;0;0,Fe,-44.1221,102.6589
M000314,1997;2002,0;0,Au,-61.245,-86.7469
M000315,1987;1992;1997;2002,0;1;3;3,Zn,88.349,-63.7527
M000316,1981;1986;1991,0;1;2,Cu,5.955,40.0078
M000317,1990;1995;2000;2005;2010;2015,0;0;0;1;1;3,Au,-63.0207,-4.6486
M000318,2003;2008;2013,0;1;1,Zn,-14.7437,-109.3171
M000319,1974;1979;1984;1989,0;0;1;1,Cu,30.4845,8.1588
M000320,1997;2002;2007;2012,0;1;1;3,Au,32.5168,14.8835
M000321,1984;1989,0;1,Fe,5.387,162.0493
M000322,1998;2003;2008,0;1;1,Cu,-61.3049,-171.6276
M000323,2001;2006;2011;2016,0;0;1;2,Zn,79.6077,125.0843
M000324,1970;1975;1980;1985;1990,0;0;1;3;3,Ag,-55.4806,83.1254
M000325,2006;2011,0;0,Ag,-30.4194,-98.4393
M000326,2007;2012;2017;2022;2027,0;0;0;0;1,Au,-42.1377,173.5443
M000327,1998;2003,0;0,Zn,-61.623,-146.2608
M000328,1980;1985;1990;1995;2000,0;1;1;1;2,U,-28.6751,-8.6761
M000329,1979;1984;1989;1994;1999;2004,0;0;0;3;3;3,Cu,-86.8477,133.6654
M000330,2009;2014;2019;2024;2029,0;0;3;3;3,U,-81.3456,-151.6295
M000331,2002;2007;2012;2017,0;1;2;2,Fe,-0.2836,-145.3285
M000332,1989;1994,0;1,Au,-2.1299,35.891
M000333,1976;1981;1986;1991;1996;2001,0;0;0;0;0;0,Zn,65.7183,-77.9875
M000334,2005;2010;2015;2020;2025;2030,0;0;0;1;2;2,Cu,-67.9449,25.5587
M000335,2005;2010;2015,0;1;1,Zn,-64.5064,-139.9902
M000336,1984;1989,0;0,Cu,-76.2623,-144.6428
M000337,1982;1987;1992;1997;2002;2007,0;1;2;2;2;2,Ag,-3.9955,-103.2964
M000338,1971;1976,0;1,Fe,-26.9918,138.7435
M000339,1990;1995;2000,0;0;0,Fe,-86.6037,-52.3369
M000340,1984;1989;1994;1999;2004,0;3;3;3;3,Au,58.1488,-146.0791
M000341,2009;2014;2019;2024;2029,0;1;2;2;2,Fe,34.034,52.5869
M000342,2012;2017,0;0,Au,-19.7492,-76.0345
M000343,1984;1989;1994;1999,0;1;1;3,Au,-57.8339,172.1047
M000344,2007;2012;2017;2022;2027;2032,0;0;1;2;2;2,Fe,-87.362,103.8933
M000345,1984;1989,0;1,Au,-84.5512,27.4576
M000346,1992;1997;2002;2007;2012,0;0;3;3;3,Ag,-76.1511,159.862
M000347,1996;2001;2006;2011;2016,0;1;2;2;2,Zn,41.4749,-142.4945
M000348,1975;1980;1985;1990,0;0;3;3,Ag,-61.5298,125.642
M000349,1991;1996;2001;2006;2011,0;1;1;2;2,Au,17.5632,-84.5238
M000350,1977;1982;1987,0;0;0,Ag,26.8636,71.8181
M000351,1983;1988;1993;1998;2003,0;1;2;2;2,Fe,8.2895,46.6073
M000352,1998;2003;2008;2013,0;0;0;1,Cu,19.5459,-174.7947
M000353,1999;2004;2009;2014;2019;2024,0;1;1;1;1;2,Cu,77.4536,-82.0884
M000354,2004;2009,0;0,Fe,73.9009,119.3877
M000355,1974;1979,0;1,Ag,88.8785,18.2232
M000356,1980;1985;1990;1995;2000,0;3;3;3;3,Fe,-8.9574,-154.643
M000357,1974;1979;1984,0;0;0,Fe,57.1899,110.4951
M000358,1994;1999;2004;2009;2014;2019,0;1;1;1;3;3,Cu,-55.9072,-140.2046
M000359,1981;1986;1991,0;0;0,Zn,-62.8747,100.2825
M000360,2008;2013;2018,0;1;2,Zn,56.9584,-95.0431
M000361,1993;1998,0;1,Cu,-70.2008,-163.2198
M000362,1975;1980;1985;1990,0;1;1;3,Zn,76.8072,8.0521
M000363,1970;1975;1980;1985,0;3;3;3,Ag,-54.0412,78.7719
M000364,1978;1983,0;3,Cu,-4.0782,156.6669
M000365,1995;2000;2005;2010,0;0;0;0,Au,-47.0111,161.7017
M000366,1979;1984;1989;1994;1999,0;0;0;0;0,Au,49.7837,108.8547
M000367,2009;2014;2019;2024;2029;2034,0;3;3;3;3;3,Zn,-16.3095,62.9627
